"";"x"
"1";42000
"2";5000000
"3";6400000
"4";84000
"5";2500000
"6";4000000
"7";5300000
"8";1000000
"9";16600000
"10";150000
"11";560000
"12";320000
"13";480000
"14";215000000
"15";30000000
"16";5000000
"17";NA
"18";470000
"19";23000000
"20";61750
"21";212000
"22";30000000
"23";300000
"24";250000
"25";250000
"26";3000000
"27";2500000
"28";25000
"29";150000
"30";700000
"31";62000
"32";50000
"33";30000
"34";1200000
"35";117000
"36";4000000
"37";113000
"38";1500000
"39";18000000
"40";5000000
"41";26000000
"42";75000000
"43";3000000
"44";2000000
"45";2000000
"46";15000000
"47";11000000
"48";250000
"49";42400000
"50";1000000
"51";1700000
"52";100000000
"53";35000000
"54";NA
"55";10000
"56";3000000
"57";4000000
"58";7000000
"59";22000000
"60";300000
"61";460000
"62";20000
"63";15000
"64";4000000
"65";800
"66";50
"67";6000
"68";160000
"69";218000
"70";4000000
"71";700000
"72";3000
"73";5000
"74";280
"75";36000000
"76";700000
